movie_id,title,genres,year,tmdb_id,imdb_id,overview,tagline,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,keywords,cast,director
11,"American President, The (1995)",Comedy|Drama|Romance,1995,9087,tt0112346,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,6.5,199.0,6.8,56637.0,white house usa president new love widower wildlife conservation,MichaelDouglas AnnetteBening MichaelJ.Fox MartinSheen ,RobReiner
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,12110,tt0112896,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,5.7,210.0,5.8,41275.0,dracula spoof,LeslieNielsen MelBrooks AmyYasbeck PeterMacNicol ,MelBrooks
13,Balto (1995),Adventure|Animation|Children,1995,21032,tt0112453,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,7.1,423.0,7.1,42865.0,wolf dog-sledding race alaska dog goose bear attack dog sled frozen lake,KevinBacon BobHoskins BridgetFonda JimCummings ,SimonWells
14,Nixon (1995),Drama,1995,10858,tt0113987,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,72.0,7.1,30588.0,usa president presidential election watergate scandal biography government historical figure,AnthonyHopkins JoanAllen PowersBoothe EdHarris ,OliverStone
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,1408,tt0112760,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5.7,137.0,5.7,27843.0,exotic island treasure map ship scalp pirate,GeenaDavis MatthewModine FrankLangella MauryChaykin ,RennyHarlin
16,Casino (1995),Crime|Drama,1995,524,tt0112641,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,No one stays at the top forever.,7.8,1343.0,8.2,502778.0,poker drug abuse 1970s overdose illegal prostitution,RobertDeNiro SharonStone JoePesci JamesWoods ,MartinScorsese
17,Sense and Sensibility (1995),Drama|Romance,1995,4584,tt0114388,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Lose your heart and come to your senses.,7.2,364.0,7.7,112925.0,bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum,KateWinslet EmmaThompson HughGrant TomWilkinson ,AngLee
18,Four Rooms (1995),Comedy,1995,5,tt0113101,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",6.5,539.0,6.7,103451.0,hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film,TimRoth AntonioBanderas JenniferBeals Madonna ,AllisonAnders
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,9273,tt0112281,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,6.1,1128.0,6.4,213228.0,africa indigenous human animal relationship bat,JimCarrey IanMcNeice SimonCallow MaynardEziashi ,SteveOedekerk
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,11517,tt0113845,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Get on, or GET OUT THE WAY!",5.4,224.0,5.7,40728.0,brother brother relationship subway new york city new york subway train robbery,WesleySnipes WoodyHarrelson JenniferLopez RobertBlake ,JosephRuben
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,8012,tt0113161,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","The mob is tough, but it’s nothing like show business.",6.4,305.0,6.9,82713.0,gambling miami based on novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con,JohnTravolta GeneHackman ReneRusso DannyDeVito ,BarrySonnenfeld
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,1710,tt0112722,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",6.5,199.0,6.6,58341.0,police brutality psychology police operation police protection serial killer psychologist cowardliness,SigourneyWeaver HollyHunter WillPatton WilliamMcNamara ,JonAmiel
23,Assassins (1995),Action|Crime|Thriller,1995,9691,tt0112401,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","In the shadows of life, In the business of death, One man found a reason to live...",6.0,394.0,6.3,82017.0,competition assassination cia bank cat mexican standoff seattle hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan,SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov ,RichardDonner
24,Powder (1995),Drama|Sci-Fi,1995,12665,tt0114168,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",An extraordinary encounter with another human being.,6.3,143.0,6.6,30052.0,dead animal shot to death teenage boy held at gunpoint teacher student relationship albino fainting jacobs ladder christ allegory psionic power healing power looking pale flickering light extrasensory perception,MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum ,VictorSalva
25,Leaving Las Vegas (1995),Drama|Romance,1995,451,tt0113627,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",I Love You... The Way You Are.,7.1,365.0,7.5,121697.0,individual prostitute alcohol casino love at first sight lovesickness film producer screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles alcohol abuse attempted suicide,NicolasCage ElisabethShue JulianSands RichardLewis ,MikeFiggis
26,Othello (1995),Drama,1995,16420,tt0114057,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Envy, greed, jealousy and love.",7.0,33.0,6.9,9597.0,shakespeare jealousy friends moor,LaurenceFishburne IrèneJacob KennethBranagh NathanielParker ,OliverParker
27,Now and Then (1995),Children|Drama,1995,9263,tt0114011,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",In every woman there is the girl she left behind.,6.6,91.0,6.8,29333.0,1970s female friendship coming of age gynecologist photocopier truth or dare woman director,ChristinaRicci RosieO'Donnell ThoraBirch MelanieGriffith ,LesliLinkaGlatter
28,Persuasion (1995),Drama|Romance,1995,17015,tt0114117,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",,7.4,36.0,7.6,10531.0,captain napoleonic wars old flame admiral,AmandaRoot CiaránHinds SusanFleetwood FionaShaw ,RogerMichell
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,902,tt0112682,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Where happily ever after is just a dream.,7.6,308.0,7.5,67842.0,clone dream island eye dystopia aging friendship rescue children girl childhood,RonPerlman DominiquePinon JudithVittet DanielEmilfork ,Jean-PierreJeunet
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,37557,tt0115012,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,In 1930's Shanghai violence was not the problem. It was the solution.,6.5,17.0,7.1,5595.0,servant cabaret shanghai diva uncle mistress umbrella,GongLi LiBao-Tian ,ZhangYimou
31,Dangerous Minds (1995),Drama,1995,9909,tt0112792,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",She broke the rules... and changed their lives.,6.4,249.0,6.5,51996.0,rap music karate high school naval officer teacher amusement park,MichellePfeiffer GeorgeDzundza CourtneyB.Vance RobinBartlett ,JohnN.Smith
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,63,tt0114746,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",The future is history.,7.4,2470.0,8.0,606167.0,schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel post-apocalyptic dystopia lethal virus monkey subterranean,BruceWillis MadeleineStowe BradPitt ChristopherPlummer ,TerryGilliam
34,Babe (1995),Children|Drama,1995,9598,tt0112431,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,6.0,756.0,6.9,123437.0,sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig,ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving ,ChrisNoonan
36,Dead Man Walking (1995),Crime|Drama,1995,687,tt0112818,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,,7.3,350.0,7.5,93660.0,prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self-discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage and hate unsociability right and justice court electric chair cowardliness,SusanSarandon SeanPenn RobertProsky RaymondJ.Barry ,TimRobbins
38,It Takes Two (1995),Children|Comedy,1995,33689,tt0113442,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",Two identical strangers. Two different worlds. One perfect match.,6.1,149.0,5.9,22363.0,orphan identical twin,KirstieAlley SteveGuttenberg AshleyOlsen Mary-KateOlsen ,AndyTennant
39,Clueless (1995),Comedy|Romance,1995,9603,tt0112697,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?,6.9,828.0,6.9,206815.0,puberty high school make a match spoiled child gay interest conflict woman director,AliciaSilverstone StaceyDash BrittanyMurphy PaulRudd ,AmyHeckerling
40,"Cry, the Beloved Country (1995)",Drama,1995,34615,tt0112749,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,,6.7,13.0,6.8,1837.0,south africa,JamesEarlJones CharlesS.Dutton JackRobinson ,DarrellJamesRoodt
41,Richard III (1995),Drama|War,1995,31174,tt0114279,Shakespeare's Play transplanted into a 1930s setting.,"I can smile, and murder while I smile",6.9,50.0,7.3,14595.0,england shakespeare kidnapping murder king,IanMcKellen AnnetteBening JimBroadbent KristinScottThomas ,RichardLoncraine
42,Dead Presidents (1995),Action|Crime|Drama,1995,11443,tt0112819,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","In this daring heist, the only color that counts is green",6.6,80.0,6.9,21960.0,money loss of virginity hiding in a dumpster mercy killing armored truck crushed by a car,LarenzTate KeithDavid ChrisTucker FreddyRodríguez ,AlbertHughes
43,Restoration (1995),Drama,1995,35196,tt0114272,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",,6.3,30.0,6.6,9418.0,jealousy medicine fountain court wealth spaniel gloves,RobertDowneyJr. MegRyan SamNeill DavidThewlis ,MichaelHoffman
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,9312,tt0113855,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Nothing In This World Has Prepared You For This.,5.4,452.0,5.8,116628.0,martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat,ChristopherLambert RobinShou LindenAshby Cary-HiroyukiTagawa ,PaulW.S.Anderson
45,To Die For (1995),Comedy|Drama|Thriller,1995,577,tt0114681,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",All she wanted was a little attention.,6.7,177.0,6.8,47426.0,adultery winter obsession television new hampshire narcissistic personality disorder,NicoleKidman MattDillon JoaquinPhoenix CaseyAffleck ,GusVanSant
46,How to Make an American Quilt (1995),Drama|Romance,1995,11861,tt0113347,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",There's beauty in the patterns of life.,6.5,38.0,6.3,11571.0,wedding vows marriage proposal married couple monogamy advice marriage quilt love family holiday extramarital affair grandmother woman director,WinonaRyder AnneBancroft EllenBurstyn KateNelligan ,JocelynMoorhouse
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,807,tt0114369,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Seven deadly sins. Seven ways to die.,8.1,5915.0,8.6,1573597.0,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer,BradPitt MorganFreeman GwynethPaltrow JohnC.McGinley ,DavidFincher
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,10530,tt0114148,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",An American legend comes to life.,6.7,1509.0,6.7,182201.0,culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on myths or folklore 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim,IreneBedard MelGibson DavidOgdenStiers JohnKassir ,MikeGabriel
49,When Night Is Falling (1995),Drama|Romance,1995,8391,tt0114916,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",,5.9,10.0,6.6,7018.0,professor lgbt woman director,PascaleBussières RachaelCrawford HenryCzerny DonMcKellar ,PatriciaRozema
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,629,tt0114814,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Five Criminals. One Line Up. No Coincidence.,8.1,3334.0,8.5,1055404.0,law relatives theft criminal criminal mastermind hungarian sibling,StephenBaldwin GabrielByrne ChazzPalminteri KevinPollak ,BryanSinger
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,11448,tt0113819,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",,6.7,145.0,7.0,40034.0,prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother independent film illegal prostitution child,WoodyAllen MiraSorvino HelenaBonhamCarter F.MurrayAbraham ,WoodyAllen
53,Lamerica (1994),Adventure|Drama,1994,49133,tt0110299,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",,7.7,11.0,7.5,2233.0,independent film,EnricoLoVerso MichelePlacido PiroMilkani CarmeloDiMazzarelli ,GianniAmelio
54,"Big Green, The (1995)",Children|Comedy,1995,26441,tt0112499,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",The biggest kick of the year!,5.2,41.0,5.5,10057.0,sport kids and family soccer woman director,SteveGuttenberg Oliviad'Abo JayO.Sanders JohnTerry ,HollyGoldbergSloan
55,Georgia (1995),Drama,1995,97406,tt0113158,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",The toughest act to follow was their dreams.,6.1,15.0,6.5,3060.0,alcohol artist music drug band,JenniferJasonLeigh MareWinningham TedLevine MaxPerlich ,UluGrosbard
57,Home for the Holidays (1995),Drama,1995,9089,tt0113321,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",We'll do it every year..until we get it right,6.3,39.0,6.6,13154.0,baltimore thanksgiving family clan family conflict generations conflict woman director,HollyHunter RobertDowneyJr. AnneBancroft CharlesDurning ,JodieFoster
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,11010,tt0110877,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,,7.6,181.0,7.8,35954.0,island letter postman fisherman poet,PhilippeNoiret MassimoTroisi MariaGraziaCucinotta RenatoScarpa ,MichaelRadford
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,11359,tt0113419,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,,5.9,136.0,6.0,28518.0,cupboard games puppet parallel world toy comes to life,HalScardino Litefoot LindsayCrouse RichardJenkins ,FrankOz
61,Eye for an Eye (1996),Drama|Thriller,1996,17182,tt0116260,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",What do you do when justice fails?,5.8,65.0,6.1,16194.0,rape gun self-defense grieving parents,SallyField KieferSutherland EdHarris BeverlyD'Angelo ,JohnSchlesinger
62,Mr. Holland's Opus (1995),Drama,1995,2054,tt0113862,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Of All the Lives He Changed, the One That Changed the Most Was His Own.",6.9,115.0,7.3,38562.0,composer mentor deaf-mute musical apprentice private life music disabled,RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis ,StephenHerek
